date,post_fit_start_time,post_fit_start_count,post_fit_peak_time,post_fit_peak_count,post_fit_end_time,post_fit_end_count,complex_region,active_region,multi_flare_region_flag,multi_flare_unresolved_flag,flare_class_with_bg,flare_class_without_bg,mean_background,flare amplitude,fit_param_Aprime,fit_param_mu,fit_param_sigma,fit_param_tau,redchisq,rsquared,snr,pre_fit_start_time,pre_fit_start_count,pre_fit_peak_time,pre_fit_peak_count,pre_fit_end_time,pre_fit_end_count,flag
20221104,82785,9.56,82965,101.03,83655,13.85,1,False,False,True,B5,B1,486.17,311.52,72.42,82874.65,61.21,329.99,106.529,0.883,134.37,82735,15.64,82995,110.18,83655,3.83,True
20221104,8155,4.34,8465,42.31,8785,4.33,6,False,False,True,B4,A4,414.73,43.08,275.43,8441.01,144.9,28.41,207.562,0.554,59.2,7945,5.72,8475,53.97,9585,-18.53,True
20221104,80175,49.67,80575,507.6,82615,129.8,1,False,False,True,B9,B5,434.21,2114.62,377.92,80434.14,175.5,1230.74,761.981,0.952,594.35,79135,-14.67,80565,595.6,82615,86.22,True
20221104,72535,10.21,73475,102.07,75295,75.04,6,False,True,True,B4,B1,326.58,629.51,63.34,73015.0,347.41,4327.51,180.802,0.841,296.44,71875,-3.2,73475,112.31,75295,61.54,True
20221104,67835,98.52,67945,797.72,68545,80.52,2,False,True,True,C1,B7,321.35,2834.86,543.99,67885.14,38.63,252.3,316.959,0.991,764.71,64975,38.42,67945,801.48,69445,-5.33,True
20221104,64975,35.54,66105,137.88,69445,40.37,2,False,True,True,B4,B1,321.35,414.99,99.76,65385.0,481.85,2512.16,316.959,0.81,881.03,64975,73.96,65985,182.92,69445,32.77,True
20221104,61785,9.01,62155,95.44,62345,92.65,3,False,True,True,B4,A9,387.2,2235.48,50.23,61912.94,95.62,5333.65,53.05,0.971,139.77,61375,4.13,62135,107.36,62345,82.93,True
20221104,58735,432.06,59275,444.71,61255,403.97,3,False,False,True,B4,B4,0.0,469.63,1733.1,58615.0,3362.28,1141.89,106.26,0.708,2342.16,58735,440.93,59215,471.77,61255,386.25,True
20221104,57675,12.94,57925,28.24,58345,2.97,2,False,False,True,B4,A2,446.41,28.7,193.94,57887.14,195.2,36.21,162.484,0.55,38.33,57675,4.74,57735,45.83,58615,-29.6,True
20221104,51175,97.04,52175,157.67,54295,71.75,6,False,False,True,B4,B1,306.62,285.55,154.65,51345.0,820.44,1898.6,143.02,0.868,738.77,51175,117.89,51945,186.82,54295,57.3,True
20221104,47475,2.93,47545,28.44,48145,24.82,3,False,True,True,B3,A2,369.43,3311.9,14.39,47494.35,15.23,4393.61,106.374,0.574,63.3,44815,-15.21,47955,44.43,48145,21.1,True
20221104,44815,0.0,47115,88.21,47895,8.82,3,False,True,True,B4,A8,369.43,89.5,643.17,47057.25,355.8,62.05,106.374,0.897,265.88,44815,-15.21,47255,111.08,48145,-2.12,True
20221104,37975,0.0,39745,254.81,40625,25.3,1,False,False,True,B6,B2,414.19,328.05,398.68,39553.86,265.0,273.28,298.572,0.97,606.8,37135,-10.38,39615,287.76,41045,10.52,True
20221104,18055,0.0,18385,58.37,18535,5.95,2,False,False,True,B4,A5,422.09,59.11,482.12,18378.25,67.63,10.39,533.25,0.463,44.05,18055,10.53,18365,62.35,19015,-41.72,True
20221103,9895,20.68,10795,140.85,12445,13.98,5,False,False,True,B6,B1,483.72,165.33,836.2,10965.8,584.61,144.87,1586.594,0.473,263.3,9895,36.15,10795,182.43,13825,6.64,True
20221103,73685,5.35,73975,52.72,76375,12.23,3,False,True,True,B3,A5,345.92,456.83,29.99,73798.02,84.83,1619.47,86.077,0.797,159.82,73035,-4.62,74055,78.77,76375,10.56,True
20221103,70355,7.14,70565,62.3,70625,61.61,1,False,False,True,B3,A6,331.48,1891.22,32.44,70421.2,54.14,3956.62,64.213,0.925,49.32,70015,-2.16,70535,79.64,70625,56.51,True
20221103,62605,29.0,62815,303.13,63315,30.08,1,False,False,True,B6,B3,390.74,560.67,291.35,62729.57,79.59,191.96,144.076,0.985,334.21,62095,10.68,62805,310.05,63525,8.66,True
20221103,53135,14.64,53205,259.79,54725,1.06,1,False,False,True,B5,B2,320.12,1868.09,152.25,53164.61,17.93,275.76,414.695,0.921,162.0,52495,14.34,53225,300.65,55735,-32.88,True
20221103,31565,11.72,33525,118.19,35125,26.07,1,False,False,True,B6,B1,541.22,121.03,665.85,33328.09,894.96,203.87,90.713,0.939,449.29,31495,8.71,33505,145.35,35125,15.83,True
20221103,26485,35.61,26835,334.8,28025,219.69,3,False,True,True,B9,B3,579.08,4095.06,183.81,26611.67,98.19,2741.86,4828.787,0.841,1034.14,23575,-144.42,27065,352.6,28025,215.85,True
20221103,23575,0.0,26345,438.87,26915,44.08,3,False,True,True,C1,B4,579.08,444.27,3484.82,26301.29,263.13,42.04,4828.787,0.748,25.11,23575,-144.42,26375,437.35,28025,-3.84,True
20221102,84675,9.06,84885,88.61,86025,74.16,2,False,True,True,B3,A8,302.3,4318.84,45.48,84742.6,52.75,6277.63,106.578,0.938,396.86,82375,4.38,85295,103.78,86025,72.97,True
20221102,82845,42.63,84315,425.06,85825,42.49,2,False,True,True,B7,B4,302.3,438.32,2094.18,84153.04,672.78,176.48,106.578,0.995,1267.28,82375,12.08,84305,464.84,86025,21.29,True
20221102,75055,49.21,75875,487.69,78925,50.2,1,False,False,True,B8,B4,324.48,1310.86,370.46,75471.32,286.59,1271.01,387.849,0.979,1388.52,74455,6.53,75725,484.08,78925,45.17,True
20221102,71135,4.79,71405,48.49,71825,38.65,3,False,False,True,B3,A4,317.7,482.64,27.15,71238.49,77.19,1719.58,52.411,0.898,103.03,70615,-0.41,71425,65.94,71825,32.1,True
20221102,60895,82.86,61705,170.36,64135,118.59,5,False,False,True,B3,B1,195.65,817.15,110.66,61025.0,533.61,4938.5,73.839,0.844,1149.61,60895,102.59,61625,182.16,64135,120.85,True
20221102,46975,5.83,47295,62.01,49855,11.41,7,False,True,True,B4,A6,374.7,449.59,36.13,47107.06,95.36,1487.21,337.604,0.483,108.95,45805,13.9,47165,72.53,49855,-23.85,True
20221102,46165,7.49,46685,77.86,47205,7.83,7,False,True,True,B4,A7,374.7,79.76,435.17,46632.18,235.55,54.1,337.604,0.691,161.68,45805,13.99,46665,91.92,49855,-35.26,True
20221102,3535,220.36,4745,239.97,7135,171.7,9,False,False,True,B3,B2,79.03,243.12,1839.54,4275.01,2885.77,478.01,56.429,0.906,2731.67,3535,222.9,4555,257.6,7135,179.48,True
20221102,25735,99.97,26075,120.92,28615,20.2,5,False,False,True,B4,B1,284.95,275.62,100.15,25595.0,374.77,1292.73,61.315,0.961,374.1,25735,109.83,26195,136.79,28615,30.39,True
20221101,76515,4.78,76775,51.17,78775,6.42,4,False,True,True,B3,A5,310.01,292.15,31.02,76627.53,80.07,944.98,99.392,0.769,79.32,75405,2.78,76755,68.06,78775,-7.21,True
20221101,76035,13.83,76175,134.45,76555,13.56,4,False,True,True,B4,B1,310.01,271.24,120.77,76114.89,53.13,149.56,99.392,0.924,125.85,75405,2.78,76175,138.76,78775,-13.63,True
20221101,72435,2.62,72835,27.39,73045,15.28,4,False,True,True,B3,A2,304.75,30.5,68.87,72753.64,173.42,96.27,49.538,0.697,43.83,71935,4.35,72895,41.17,73045,11.89,True
20221101,68995,5.19,69465,49.96,71245,3.48,6,False,False,True,B3,A4,317.58,120.45,40.09,69239.68,167.9,632.27,77.212,0.834,133.42,68935,7.31,69515,67.64,71815,-7.77,True
20221101,62345,8.61,64135,88.61,65445,8.83,3,False,False,True,B4,A8,408.18,93.83,727.03,63816.98,689.81,111.58,311.66,0.708,253.14,61855,-43.54,64155,114.36,65945,0.75,True
20221101,50005,52.61,50315,543.29,50655,52.85,1,False,False,True,B9,B5,392.23,606.64,1350.59,50249.03,133.47,75.14,1352.342,0.953,567.17,48175,-46.56,50295,585.99,51755,-44.51,True
20221101,22715,63.76,22825,582.83,23135,58.31,1,False,False,True,B9,B5,357.54,1241.66,503.88,22773.73,40.31,124.48,1546.489,0.955,351.75,22135,-40.47,22825,605.48,23265,45.78,True
20221101,18985,4.19,19565,42.69,20185,10.55,6,False,True,False,B3,A4,280.78,58.46,59.11,19380.62,237.09,293.88,39.393,0.846,126.92,18655,5.14,19455,53.89,20185,12.45,True
20221101,18915,1.78,19225,16.91,20185,14.35,6,False,True,False,B2,A1,280.78,500.04,8.81,19016.47,79.79,5672.9,39.393,0.487,76.72,18655,5.04,20005,33.97,20185,16.25,True
20221031,77455,6.84,77615,81.64,79135,0.37,7,False,True,True,B3,A8,304.3,244.95,59.14,77536.47,53.15,275.91,62.3,0.894,97.99,76975,9.88,77665,87.46,80335,7.88,True
